id,variant,ime_seta,tema,leto,tip_seta,figurice,st_kock,us_cena,eu_cena,us_ppp,eu_ppp,pakiranje,dostopnost,us_cas_izida,eu_cas_izida
71348,1,Hermione Granger Fun Pack,Dimensions,2017,normal,1,64,14.99,14.99,23.4,23.4,Box,Retail,May 17,May 17
71349,1,Beetlejuice Fun Pack,Dimensions,2017,normal,1,56,14.99,14.99,26.8,26.8,Box,Retail,Sep 17,Sep 17
75144,1,Snowspeeder,Star Wars,2017,normal,2,1703,199.99,199.99,11.7,11.7,Box,LEGO exclusive,May 17,May 17
75160,1,U-wing Microfighter,Star Wars,2017,normal,1,109,9.99,9.99,9.2,9.2,Box,Retail,Feb 17,Dec 16
75161,1,TIE Striker Microfighter,Star Wars,2017,normal,1,88,9.99,9.99,11.4,11.4,Box,Retail,Feb 17,Dec 16
75162,1,Y-wing Microfighter,Star Wars,2017,normal,1,90,9.99,9.99,11.1,11.1,Box,Retail,Feb 17,Dec 16
75163,1,Krennic's Imperial Shuttle Microfighter,Star Wars,2017,normal,1,78,9.99,9.99,12.8,12.8,Box,Retail,Feb 17,Dec 16
75164,1,Rebel Trooper Battle Pack,Star Wars,2017,normal,4,120,14.99,14.99,12.5,12.5,Box,Retail,Feb 17,Dec 16
75165,1,Imperial Trooper Battle Pack,Star Wars,2017,normal,4,112,14.99,14.99,13.4,13.4,Box,Retail,Feb 17,Dec 16
75166,1,First Order Transport Speeder Battle Pack,Star Wars,2017,normal,4,117,14.99,14.99,12.8,12.8,Box,Retail,Jun 17,Jun 17
75167,1,Bounty Hunter Speeder Bike Battle Pack,Star Wars,2017,normal,4,125,14.99,14.99,12.0,12.0,Box,Retail,Jun 17,Jun 17
75168,1,Yoda's Jedi Starfighter,Star Wars,2017,normal,2,262,24.99,29.99,9.5,11.4,Box,Retail,Feb 17,Dec 16
75169,1,Duel on Naboo,Star Wars,2017,normal,3,208,24.99,29.99,12.0,14.4,Box,Retail,Feb 17,Dec 16
75170,1,The Phantom,Star Wars,2017,normal,3,269,29.99,39.99,11.1,14.9,Box,Retail,Feb 17,Dec 16
75171,1,Battle on Scarif,Star Wars,2017,normal,4,419,49.99,59.99,11.9,14.3,Box,Retail,Feb 17,Dec 16
75172,1,Y-wing Starfighter,Star Wars,2017,normal,5,691,59.99,69.99,8.7,10.1,Box,Retail,Feb 17,Dec 16
75173,1,Luke's Landspeeder,Star Wars,2017,normal,4,149,19.99,29.99,13.4,20.1,Box,Retail - limited,Feb 17,Dec 16
75174,1,Desert Skiff Escape,Star Wars,2017,normal,4,277,29.99,39.99,10.8,14.4,Box,Retail - limited,Feb 17,Dec 16
75175,1,A-wing Starfighter,Star Wars,2017,normal,3,358,39.99,49.99,11.2,14.0,Box,Retail - limited,Feb 17,Dec 16
75176,1,Resistance Transport Pod,Star Wars,2017,normal,3,294,29.99,39.99,10.2,13.6,Box,Retail,Sep 17,Sep 17
75177,1,First Order Heavy Scout Walker,Star Wars,2017,normal,4,554,49.99,59.99,9.0,10.8,Box,Retail,Sep 17,Sep 17
75178,1,Jakku Quadjumper,Star Wars,2017,normal,5,457,49.99,59.99,10.9,13.1,Box,Retail,Jun 17,Jun 17
75179,1,Kylo Ren's TIE Fighter,Star Wars,2017,normal,4,630,79.99,79.99,12.7,12.7,Box,Retail,Sep 17,Sep 17
75180,1,Rathtar Escape,Star Wars,2017,normal,5,836,79.99,89.99,9.6,10.8,Box,Retail,Jun 17,Jun 17
75182,1,Republic Fighter Tank,Star Wars,2017,normal,4,305,24.99,29.99,8.2,9.8,Box,Retail,Jun 17,Jun 17
75183,1,Darth Vader Transformation,Star Wars,2017,normal,6,282,24.99,29.99,8.9,10.6,Box,Retail,Jun 17,Jun 17
75184,1,Star Wars Advent Calendar,Star Wars,2017,normal,8,309,39.99,29.99,12.9,9.7,Box,Retail,Sep 17,Sep 17
75185,1,Tracker I,Star Wars,2017,normal,4,557,69.99,69.99,12.6,12.6,Box,Retail,Jun 17,Jun 17
75186,1,The Arrowhead,Star Wars,2017,normal,5,775,89.99,89.99,11.6,11.6,Box,Retail,Jun 17,Jun 17
75187,1,BB-8,Star Wars,2017,normal,1,1106,99.99,99.99,9.0,9.0,Box,Retail,Sep 17,Sep 17
75188,1,Resistance Bomber,Star Wars,2017,normal,5,778,109.99,109.99,14.1,14.1,Box,Retail,Sep 17,Sep 17
75189,1,First Order Heavy Assault Walker,Star Wars,2017,normal,5,1376,149.99,139.99,10.9,10.2,Box,Retail,Sep 17,Sep 17
75190,1,First Order Star Destroyer,Star Wars,2017,normal,7,1416,159.99,149.99,11.3,10.6,Box,Retail,Sep 17,Sep 17
75191,1,Jedi Starfighter with Hyperdrive,Star Wars,2017,normal,4,825,99.99,109.99,12.1,13.3,Box,Retail - limited,Jun 17,Jun 17
75192,1,Millennium Falcon,Star Wars,2017,normal,8,7541,799.99,799.99,10.6,10.6,Box,LEGO exclusive,Jan 18,Jan 18
75523,1,Scarif Stormtrooper,Star Wars,2017,normal,,89,24.99,24.99,28.1,28.1,Box,Retail,Feb 17,Dec 16
75524,1,Chirrut Îmwe,Star Wars,2017,normal,,87,24.99,24.99,28.7,28.7,Box,Retail,Feb 17,Dec 16
75525,1,Baze Malbus,Star Wars,2017,normal,,148,24.99,24.99,16.9,16.9,Box,Retail,Feb 17,Dec 16
75526,1,Elite TIE Fighter Pilot,Star Wars,2017,normal,,94,19.99,19.99,21.3,21.3,Box,Retail,Sep 17,Sep 17
75528,1,Rey,Star Wars,2017,normal,,85,24.99,24.99,29.4,29.4,Box,Retail,Sep 17,Sep 17
75529,1,Elite Praetorian Guard,Star Wars,2017,normal,,92,24.99,24.99,27.2,27.2,Box,Retail,Sep 17,Sep 17
75530,1,Chewbacca,Star Wars,2017,normal,,179,34.99,34.99,19.5,19.5,Box,Retail,Sep 17,Sep 17
75531,1,Stormtrooper Commander,Star Wars,2017,normal,,100,24.99,24.99,25.0,25.0,Box,Retail,Jun 17,Jun 17
75532,1,Scout Trooper & Speeder Bike,Star Wars,2017,normal,,452,54.99,54.99,12.2,12.2,Box,Retail,Jun 17,Jun 17
75877,1,Mercedes-AMG GT3,Speed Champions,2017,normal,1,196,14.99,14.99,7.6,7.6,Box,Retail,Feb 17,Mar 17
75878,1,Bugatti Chiron,Speed Champions,2017,normal,1,181,14.99,14.99,8.3,8.3,Box,Retail,Feb 17,Mar 17
75879,1,Scuderia Ferrari SF16-H,Speed Champions,2017,normal,1,184,14.99,14.99,8.1,8.1,Box,Retail,Feb 17,Mar 17
75880,1,McLaren 720S,Speed Champions,2017,normal,1,161,14.99,14.99,9.3,9.3,Box,Retail,Jun 17,Jun 17
75881,1,2016 Ford GT & 1966 Ford GT40,Speed Champions,2017,normal,3,366,29.99,34.99,8.2,9.6,Box,Retail,Feb 17,Mar 17
75882,1,Ferrari FXX K & Development Center,Speed Champions,2017,normal,4,494,49.99,49.99,10.1,10.1,Box,Retail,Feb 17,Mar 17
75883,1,Mercedes AMG Petronas Formula One Team,Speed Champions,2017,normal,8,941,99.99,99.99,10.6,10.6,Box,Retail,Feb 17,Mar 17
75995,1,Mercedes AMG Petronas Team Gift 2017,Speed Champions,2017,normal,1,120,,,,,Box,Promotional,,
76068,1,Mighty Micros: Superman vs. Bizarro,DC Comics Super Heroes,2017,normal,2,93,9.99,9.99,10.7,10.7,Box,Retail,Jan 17,Dec 16
76069,1,Mighty Micros: Batman vs. Killer Moth,DC Comics Super Heroes,2017,normal,2,83,9.99,9.99,12.0,12.0,Box,Retail,Jan 17,Dec 16
76070,1,Mighty Micros: Wonder Woman vs. Doomsday,DC Comics Super Heroes,2017,normal,2,85,9.99,9.99,11.8,11.8,Box,Retail,Jan 17,Dec 16
76071,1,Mighty Micros: Spider-Man vs. Scorpion,Marvel Super Heroes,2017,normal,2,79,9.99,9.99,12.6,12.6,Box,Retail,Jan 17,Dec 16
76072,1,Mighty Micros: Iron Man vs. Thanos,Marvel Super Heroes,2017,normal,2,94,9.99,9.99,10.6,10.6,Box,Retail,Jan 17,Dec 16
76073,1,Mighty Micros: Wolverine vs. Magneto,Marvel Super Heroes,2017,normal,2,85,9.99,9.99,11.8,11.8,Box,Retail,Jan 17,Dec 16
